
I — я | I am here. | Я здесь.
before — до | Call before 5. | Позвони до пяти.
large — большой | A large bag. | Большая сумка.
know — знать | I know him. | Я его знаю.
line — линия | Draw a line. | Нарисуй линию.
must — должен | You must go. | Ты должен идти.
place — место | Nice place. | Хорошее место.
right — верно | You are right. | Ты прав.
big — большой | Big house. | Большой дом.
year — год | Next year. | В следующем году.
too — слишком | Too late. | Слишком поздно.
even — даже | Even now. | Даже сейчас.
live — жить | Live well. | Живи хорошо.
mean — значить | Words mean much. | Слова многое значат.
such — такой | Such luck! | Такая удача!
old — старый | Old friend. | Старый друг.
because — потому что | Smile because life is good. | Улыбайся, потому что жизнь хороша.
back — назад | Go back. | Вернись.
any — любой | Any time. | В любое время.
turn — повернуть | Turn left. | Поверни налево.
give — давать | Give me five. | Дай пять.
here — здесь | Stay here. | Оставайся здесь.
most — большинство | Most agree. | Большинство согласны.

and — и | I like tea and coffee. | Я люблю чай и кофе.
to — к | Give it to me. | Дай это мне.
in — в | She is in the car. | Она в машине.
is — является | This is easy. | Это легко.
that — что | I know that fact. | Я знаю этот факт.
was — был | He was late. | Он опоздал.
for — для | This gift is for you. | Этот подарок для тебя.
on — на | The book is on the table. | Книга на столе.
are — являются | They are doctors. | Они врачи.
as — как | Work as a team. | Работайте как команда.
with — с | Come with us. | Пойдём с нами.
at — в | Meet me at nine. | Встреться со мной в девять.
be — быть | I want to be happy. | Я хочу быть счастливым.
have — иметь | They have a car. | У них есть машина.
from — от | She comes from Spain. | Она из Испании.
or — или | Tea or coffee? | Чай или кофе?
had — имел | I had a dream. | У меня был сон.
by — к | Stand by me. | Постой рядом со мной.
word — слово | Learn one new word. | Выучи одно новое слово.
but — но | Small but nice. | Маленький, но милый.
not — нет | Do not worry. | Не волнуйся.
what — что | What is this? | Что это?
were — были | We were busy. | Мы были заняты.
when — когда | Call me when ready. | Позвони, когда будешь готов.
can — может | She can swim. | Она умеет плавать.
said — сказал | He said hello. | Он сказал «привет».
there — там | The keys are there. | Ключи там.
use — использовать | Use this pen. | Используй эту ручку.
zero — нуль | The score is zero. | Счёт — ноль.
each — каждый | Each day counts. | Каждый день важен.
which — который | Which way now? | Куда теперь?
do — делать | I do my work. | Я делаю свою работу.
how — как | How are you? | Как дела?
if — если | If it rains, stay. | Если пойдёт дождь — оставайся.
will — воля | Time will tell. | Время покажет.
up — вверх | Look up there. | Посмотри наверх.
about — о | Tell me about it. | Расскажи об этом.
out — вне | Go out now. | Выйди сейчас.
many — много | Many came today. | Многие пришли сегодня.
then — затем | Then we left. | Потом мы ушли.
these — эти | Take these apples. | Возьми эти яблоки.
so — так | I think so. | Я так думаю.
some — некоторый | Have some tea. | Выпей немного чая.
would — бы | I would help. | Я бы помог.
make — делать | Make a cake. | Испеки торт.
like — нравиться | I like music. | Мне нравится музыка.
into — в | Jump into the pool. | Прыгни в бассейн.
time — время | Time is money. | Время — деньги.
has — имеет | She has a cat. | У неё есть кот.
look — смотреть | Look at me. | Посмотри на меня.
more — более | We need more. | Нам нужно больше.
write — писать | Write your name. | Напиши своё имя.
go — идти | Let's go home. | Пойдём домой.
see — видеть | I see you. | Я вижу тебя.
number — число | Pick a number. | Выбери число.
no — нет | No, thank you. | Нет, спасибо.
way — способ | Find a way. | Найди способ.
could — мог | He could run. | Он мог бегать.
people — люди | People like stories. | Люди любят истории.
than — чем | Better than ever. | Лучше, чем когда‑либо.
water — вода | Drink water daily. | Пей воду каждый день.
been — был | I've been there. | Я там был.
call — вызов | Call me tonight. | Позвони мне вечером.
who — кто | Who is she? | Кто она?
oil — масло | Add oil now. | Добавь масло сейчас.
now — сейчас | Do it now. | Сделай это сейчас.
find — находить | Find your keys. | Найди свои ключи.
long — длинный | A long road. | Длинная дорога.
down — вниз | Sit down here. | Сядь здесь.
day — день | It's a good day. | Хороший день.
did — делал | What did you do? | Что ты сделал?
get — получать | Get some rest. | Отдохни немного.
come — приходить | Come home soon. | Приходи домой скоро.
made — сделал | She made tea. | Она сделала чай.
may — может | May I go? | Можно мне идти?
part — часть | Take part. | Прими участие.
over — над | Fly over us. | Пролетай над нами.
say — сказать | Say something. | Скажи что‑нибудь.
set — набор | Set the table. | Накрой на стол.
new — новый | A new phone. | Новый телефон.
great — большой | Great job! | Отличная работа!
put — помещать | Put it here. | Положи это сюда.
sound — звук | Hear that sound. | Слышишь тот звук?
where — где | Where are you? | Где ты?
end — конец | The end is near. | Конец близок.
take — брать | Take my hand. | Возьми мою руку.
help — помощь | Need help? | Нужна помощь?
does — делает | What does it do? | Что это делает?
only — только | Only one left. | Остался только один.
through — через | Walk through door. | Иди через дверь.
little — маленький | A little bird. | Маленькая птица.
much — много | Much to learn. | Много учиться.
well — хорошо | Sleep well. | Спи хорошо.
work — работа | Work starts now. | Работа начинается сейчас.
before — до | Finish before six. | Закончите до шести.
and — и | I like tea and coffee. | Я люблю чай и кофе.
to — к | Give it to me. | Дай это мне.
in — в | She is in the car. | Она в машине.
is — является | This is easy. | Это легко.
that — что | I know that fact. | Я знаю этот факт.
was — был | He was late. | Он опоздал.
for — для | This gift is for you. | Этот подарок для тебя.
on — на | The book is on the table. | Книга на столе.
are — являются | They are doctors. | Они врачи.
as — как | Work as a team. | Работайте как команда.
with — с | Come with us. | Пойдём с нами.
at — в | Meet me at nine. | Встреться со мной в девять.
be — быть | I want to be happy. | Я хочу быть счастливым.
have — иметь | They have a car. | У них есть машина.
from — от | She comes from Spain. | Она из Испании.
or — или | Tea or coffee? | Чай или кофе?
had — имел | I had a dream. | У меня был сон.
by — к | Stand by me. | Постой рядом со мной.
word — слово | Learn one new word. | Выучи одно новое слово.
but — но | Small but nice. | Маленький, но милый.
not — нет | Do not worry. | Не волнуйся.
what — что | What is this? | Что это?
were — были | We were busy. | Мы были заняты.
when — когда | Call me when ready. | Позвони, когда будешь готов.
can — может | She can swim. | Она умеет плавать.
said — сказал | He said hello. | Он сказал «привет».
there — там | The keys are there. | Ключи там.
use — использовать | Use this pen. | Используй эту ручку.
zero — нуль | The score is zero. | Счёт — ноль.
each — каждый | Each day counts. | Каждый день важен.
which — который | Which way now? | Куда теперь?
do — делать | I do my work. | Я делаю свою работу.
how — как | How are you? | Как дела?
if — если | If it rains, stay. | Если пойдёт дождь — оставайся.
will — воля | Time will tell. | Время покажет.
up — вверх | Look up there. | Посмотри наверх.
about — о | Tell me about it. | Расскажи об этом.
out — вне | Go out now. | Выйди сейчас.
many — много | Many came today. | Многие пришли сегодня.
then — затем | Then we left. | Потом мы ушли.
these — эти | Take these apples. | Возьми эти яблоки.
so — так | I think so. | Я так думаю.
some — некоторый | Have some tea. | Выпей немного чаю.
would — бы | I would help. | Я бы помог.
make — делать | Make a cake. | Испеки торт.
like — нравиться | I like music. | Мне нравится музыка.
into — в | Jump into the pool. | Прыгни в бассейн.
time — время | Time is money. | Время — деньги.
has — имеет | She has a cat. | У неё есть кот.
look — смотреть | Look at me. | Посмотри на меня.
more — более | We need more. | Нам нужно больше.
write — писать | Write your name. | Напиши своё имя.
go — идти | Let's go home. | Пойдём домой.
see — видеть | I see you. | Я вижу тебя.
number — число | Pick a number. | Выбери число.
no — нет | No, thank you. | Нет, спасибо.
way — способ | Find a way. | Найди способ.
could — мог | He could run. | Он мог бегать.
people — люди | People like stories. | Люди любят истории.
than — чем | Better than ever. | Лучше, чем когда‑либо.
water — вода | Drink water daily. | Пей воду каждый день.
been — был | I've been there. | Я там был.
call — вызов | Call me tonight. | Позвони мне вечером.
find — находить | Find the key. | Найди ключ.
long — длинный | A long road. | Долгая дорога.
down — вниз | Sit down. | Сядь.
day — день | Good day! | Добрый день!
did — делал | What did you say? | Что ты сказал?
get — получать | Get some rest. | Отдохни немного.
come — приходить | Come here. | Подойди сюда.
made — сделал | She made dinner. | Она приготовила ужин.
may — может | May I sit? | Можно сесть?
part — часть | A big part. | Большая часть.
over — над | Clouds over us. | Облака над нами.
say — сказать | Say hello! | Скажи «привет»!
set — набор | A set of tools. | Набор инструментов.
new — новый | A new idea. | Новая идея.
great — большой | A great job! | Отличная работа!
put — помещать | Put it here. | Положи это сюда.
sound — звук | I heard a sound. | Я услышал звук.
where — где | Where are you? | Где ты?
end — конец | The end. | Конец.
take — брать | Take a seat. | Присядь.
help — помощь | Need help? | Нужна помощь?
does — делает | What does he do? | Чем он занимается?
only — только | Only one left. | Остался только один.
through — через | Walk through here. | Пройди через здесь.
little — маленький | A little cat. | Маленький котёнок.
much — много | Too much work. | Слишком много работы.
well — хорошо | Sleep well. | Спи хорошо.
work — работа | Work hard. | Работай усердно.
before — до | Before dinner. | Перед ужином.
large — большой | A large room. | Большая комната.
know — знать | I know this. | Я это знаю.
line — линия | Draw a line. | Проведи линию.
must — должен | You must go. | Ты должен идти.
place — место | A quiet place. | Тихое место.
right — верно | You're right. | Ты прав.
big — большой | A big tree. | Большое дерево.
year — год | Happy New Year! | С Новым годом!
too — слишком | Too late. | Слишком поздно.
even — даже | Even he knows. | Даже он знает.
live — жить | Live well. | Живи хорошо.
mean — иметь в виду | What do you mean? | Что ты имеешь в виду?
such — такой | Such beauty! | Такая красота!
old — старый | An old house. | Старый дом.
because — потому что | Stay, because I care. | Останься, потому что я забочусь.
back — назад | Go back. | Иди назад.
any — любой | Any questions? | Есть вопросы?
turn — повернуть | Turn left. | Поверни налево.
give — давать | Give me that. | Дай мне это.
here — здесь | Come here. | Иди сюда.
most — большинство | Most agree. | Большинство согласны.
tell — рассказывать | Tell the truth. | Расскажи правду.
why — почему | Why so sad? | Почему так грустно?
very — очень | Very good! | Очень хорошо!
boy — мальчик | The boy runs. | Мальчик бежит.
ask — просить | Ask again. | Спроси ещё раз.
after — после | After work. | После работы.
follow — следовать | Follow me. | Следуй за мной.
went — шёл | He went home. | Он пошёл домой.
thing — вещь | Take your thing. | Возьми свою вещь.
came — пришёл | She came early. | Она пришла рано.
men — мужчины | Men at work. | Мужчины работают.
want — хотеть | I want more. | Я хочу больше.
read — читать | Read this book. | Прочитай эту книгу.
just — только | Just do it. | Просто сделай это.
show — показывать | Show me. | Покажи мне.
need — нуждаться | I need help. | Мне нужна помощь.
name — имя | My name is Tom. | Меня зовут Том.
also — также | She also came. | Она тоже пришла.
land — земля | The land is dry. | Земля сухая.
good — хороший | A good idea. | Хорошая идея.
around — вокруг | Look around you. | Посмотри вокруг.
sentence — предложение | Read the sentence. | Прочитай предложение.
form — форма | Fill this form. | Заполни эту форму.
home — дом | Go home. | Иди домой.
man — мужчина | The man smiled. | Мужчина улыбнулся.
think — думать | Think again. | Подумай ещё раз.
small — маленький | A small cat. | Маленький кот.
move — двигаться | Move slowly. | Двигайся медленно.
try — пытаться | Try your best. | Старайся изо всех сил.
kind — добрый | Be kind. | Будь добрым.
hand — рука | Raise your hand. | Подними руку.
picture — картина | Nice picture! | Красивая картина!
change — изменять | Change clothes. | Переоденься.
off — выключенный | Turn off lights. | Выключи свет.
play — играть | Play outside. | Играй на улице.
spell — заклинание | Spell your name. | Произнеси своё имя по буквам.
air — воздух | Fresh air helps. | Свежий воздух помогает.
away — прочь | Go away! | Уходи!
animal — животное | Feed the animal. | Кормите животное.
house — дом | Big house there. | Там большой дом.
point — точка | Good point. | Верное замечание.
page — страница | Turn the page. | Переверни страницу.
letter — письмо | Send a letter. | Отправь письмо.
mother — мать | Mother knows best. | Мама знает лучше.
answer — отвечать | Answer quickly. | Ответь быстро.
found — найденный | I found it. | Я нашёл это.
study — изучать | Study English. | Изучай английский.
still — всё ещё | I’m still here. | Я всё ещё здесь.
learn — учиться | Learn more. | Учись больше.
should — должен | You should go. | Тебе следует идти.
America — Америка | America is big. | Америка большая.
world — мир | World is changing. | Мир меняется.
high — высокий | A high wall. | Высокая стена.
every — каждый | Every day counts. | Каждый день важен.
eleven — одиннадцать | Eleven students came. | Пришли одиннадцать учеников.
twelve — двенадцать | Twelve months pass. | Проходят двенадцать месяцев.
thirteen — тринадцать | He is thirteen. | Ему тринадцать.
fourteen — четырнадцать | She is fourteen. | Ей четырнадцать.
fifteen — пятнадцать | Fifteen apples here. | Здесь пятнадцать яблок.
sixteen — шестнадцать | Sixteen years old. | Шестнадцать лет.
seventeen — семнадцать | He turned seventeen. | Ему исполнилось семнадцать.
eighteen — восемнадцать | Eighteen votes counted. | Подсчитано восемнадцать голосов.
nineteen — девятнадцать | Nineteen minutes left. | Осталось девятнадцать минут.
twenty — двадцать | Twenty cars parked. | Запарковано двадцать машин.
near — около | Sit near me. | Сядь рядом со мной.
add — добавлять | Add salt. | Добавь соли.
food — еда | Food is ready. | Еда готова.
between — между | Sit between friends. | Сядь между друзьями.
own — собственный | Write your own. | Напиши своё.
below — ниже | See below. | Смотри ниже.
country — страна | My country home. | Мой сельский дом.
plant — растение | Water the plant. | Полей растение.
school — школа | School starts soon. | Школа скоро начинается.
father — отец | Father is here. | Отец здесь.
keep — держать | Keep calm. | Сохраняй спокойствие.
tree — дерево | Climb the tree. | Залезь на дерево.
start — начинать | Start now. | Начинай сейчас.
city — город | A big city. | Большой город.
earth — земля | Earth is round. | Земля круглая.
eye — глаз | Close one eye. | Закрой один глаз.
light — свет | Turn on light. | Включи свет.
thought — мысль | Interesting thought. | Интересная мысль.
head — голова | Shake your head. | Потряси головой.
under — под | Sit under tree. | Сядь под деревом.
story — история | Tell a story. | Расскажи историю.
saw — пила | He saw me. | Он видел меня.
important — важный | Important news. | Важные новости.
left — левый | Turn left. | Поверни налево.
until — до | Wait until ten. | Жди до десяти.
don't — не | Don't move. | Не двигайся.
children — дети | Children play. | Дети играют.
few — немного | Few people came. | Пришло мало людей.
side — сторона | Other side now. | Теперь другая сторона.
while — пока | Stay while I work. | Оставайся, пока я работаю.
feet — ноги | Wash your feet. | Помой ноги.
along — вдоль | Walk along river. | Иди вдоль реки.
car — машина | New car shines. | Новая машина блестит.
might — мощь | He might come. | Он может прийти.
mile — миля | One mile left. | Осталась одна миля.
close — закрывать | Close the door. | Закрой дверь.
night — ночь | Good night! | Спокойной ночи!
something — что‑нибудь | Say something. | Скажи что‑нибудь.
walk — ходить | Walk slowly. | Гуляй медленно.
seem — казаться | You seem tired. | Ты выглядишь уставшим.
white — белый | White snow fell. | Выпал белый снег.
sea — море | Sea is calm. | Море спокойно.
hard — жёсткий | Hard work pays. | Тяжёлый труд окупается.
began — начал | He began early. | Он начал рано.
open — открыть | Open window. | Открой окно.
grow — расти | Plants grow fast. | Растения быстро растут.
example — пример | Good example. | Хороший пример.
took — взял | She took it. | Она взяла это.
begin — начинать | Begin again. | Начни снова.
river — река | Cross the river. | Перейди реку.
life — жизнь | Life is short. | Жизнь коротка.
carry — нести | Carry bags. | Неси сумки.
those — те | Take those apples. | Возьми те яблоки.
state — состояние | State the fact. | Укажи факт.
both — оба | Both are fine. | Оба в порядке.
once — однажды | Once I knew. | Однажды я знал.
paper — бумага | Fold paper. | Сложи бумагу.
book — книга | Read this book. | Прочитай эту книгу.
together — вместе | Work together. | Работайте вместе.
hear — слышать | Hear music? | Слышишь музыку?
got — получил | I got it. | Я понял это.
stop — остановиться | Stop here. | Остановись здесь.
group — группа | Join our group. | Присоединяйся к группе.
without — без | Tea without sugar. | Чай без сахара.
often — часто | He often visits. | Он часто навещает.
run — бегать | Run faster! | Беги быстрее!
later — позже | Call later. | Позвони позже.
miss — скучать | I miss you. | Я скучаю по тебе.
idea — идея | Great idea! | Отличная идея!
enough — достаточно | Enough talk. | Хватит разговора.
eat — есть | Eat breakfast. | Поешь завтрак.
face — лицо | Wash your face. | Умой лицо.
watch — смотреть | Watch this! | Смотри сюда!
far — далеко | Far from home. | Далеко от дома.
Indian — индийский | Indian food aromatic. | Индийская еда ароматна.
really — действительно | Really nice! | Действительно классно.
almost — почти | Almost done. | Почти готово.
let — позволять | Let me go. | Позволь мне уйти.
above — выше | Clouds above us. | Облака над нами.
girl — девочка | The girl smiles. | Девочка улыбается.
sometimes — иногда | I sometimes run. | Я иногда бегаю.
mountain — гора | Climb the mountain. | Заберись на гору.
cut — резать | Cut the bread. | Нарежь хлеб.
young — молодой | Young trees grow. | Молодые деревья растут.
talk — разговаривать | Talk to me. | Поговори со мной.
soon — скоро | See you soon. | Увидимся скоро.
list — список | Make a list. | Составь список.
song — песня | Sing a song. | Спой песню.
being — существование | Being happy matters. | Важно быть счастливым.
leave — оставлять | Leave the room. | Оставь комнату.
family — семья | Family is everything. | Семья — это всё.
it's — это | It's my bike. | Это мой велосипед.
body — тело | Stretch your body. | Разомни тело.
music — музыка | Play music. | Включи музыку.
color — цвет | Pick a color. | Выбери цвет.
stand — стоять | Stand still. | Стой тихо.
sun — солнце | Sun is bright. | Солнце яркое.
question — вопрос | Ask a question. | Задай вопрос.
fish — рыба | Catch a fish. | Поймай рыбу.
area — область | Quiet area here. | Здесь тихая область.
mark — отметка | Mark the page. | Отметь страницу.
dog — собака | Dog barks loudly. | Собака громко лает.
horse — лошадь | Ride a horse. | Покатайся на лошади.
birds — птицы | Birds sing outside. | Птицы поют снаружи.
problem — проблема | Solve the problem. | Реши проблему.
complete — полный | Task complete. | Задание выполнено.
room — комната | Clean the room. | Убери комнату.
knew — знал | I knew it. | Я знал это.
since — с | Since Monday. | С понедельника.
ever — всегда | Best ever! | Лучший всегда!
piece — кусок | Take a piece. | Возьми кусок.
told — сказал | She told me. | Она сказала мне.
usually — обычно | I usually read. | Я обычно читаю.
didn't — не сделал | He didn't come. | Он не пришёл.
friends — друзья | Friends help. | Друзья помогают.
easy — лёгкий | Easy task ahead. | Лёгкое задание впереди.
heard — слышал | I heard noise. | Я услышал шум.
order — заказ | Place an order. | Оформь заказ.
red — красный | Red apple shines. | Красное яблоко блестит.
door — дверь | Open the door. | Открой дверь.
sure — конечно | Sure, why not? | Конечно, почему бы и нет?
become — становиться | Become better. | Становись лучше.
top — вершина | Reach the top. | Достигни вершины.
ship — корабль | Ship left port. | Корабль ушёл из порта.
across — через | Walk across street. | Перейди улицу.
today — сегодня | Today is sunny. | Сегодня солнечно.
during — в течение | Sleep during flight. | Спи во время полёта.
short — короткий | Short break now. | Сейчас короткий перерыв.
better — лучше | Feel better soon. | Почувствуй себя лучше.
best — лучший | You are best. | Ты лучший.
however — однако | However, stay calm. | Однако оставайся спокойным.
low — низкий | Low prices here. | Здесь низкие цены.
hours — часы | Two hours left. | Осталось два часа.
black — чёрный | Black cat waits. | Чёрный кот ждёт.
products — продукты | Fresh products sell. | Свежие продукты продаются.
happened — случилось | What happened? | Что случилось?
whole — весь | Whole cake gone. | Весь торт исчез.
measure — мера | Measure twice. | Отмерь дважды.
remember — помнить | Remember this day. | Запомни этот день.
early — рано | Wake up early. | Вставай рано.
waves — волны | Waves hit hard. | Волны бьют сильно.
reached — достиг | He reached home. | Он добрался домой.
done — сделанный | Job done! | Работа сделана!
English — английский | Study English daily. | Учите английский ежедневно.
road — дорога | Cross the road. | Перейди дорогу.
halt — остановка | Buses halt here. | Автобусы останавливаются здесь.
fly — летать | Birds fly high. | Птицы летят высоко.
gave — отдал | She gave money. | Она дала деньги.
box — коробка | Open the box. | Открой коробку.
finally — наконец | We finally met. | Мы наконец встретились.
wait — ждать | Please wait here. | Пожалуйста, подожди здесь.
correct — правильный | Your answer correct. | Твой ответ правильный.
oh — ой | Oh, that's hot! | Ой, это горячо!
quickly — быстро | Run quickly now. | Беги сейчас быстро.
person — человек | Nice person there. | Там хороший человек.
became — стал | He became doctor. | Он стал доктором.
shown — показано | Map shown above. | Карта показана выше.
minutes — минуты | Ten minutes left. | Осталось десять минут.
strong — сильный | Stay strong. | Оставайся сильным.
verb — глагол | “Run” is verb. | «Run» — это глагол.
stars — звёзды | Stars shine bright. | Звёзды ярко сияют.
front — передний | Sit in front. | Сядь впереди.
feel — чувствовать | I feel good. | Я чувствую себя хорошо.
fact — факт | That's a fact. | Это факт.
inches — дюймы | Two inches wide. | Шириной два дюйма.
street — улица | Clean the street. | Убери улицу.
decided — решил | She decided quickly. | Она решила быстро.
contain — содержать | Boxes contain books. | Коробки содержат книги.
course — курс | Take this course. | Пройди этот курс.
surface — поверхность | Touch the surface. | Коснись поверхности.
produce — производить | Farms produce milk. | Фермы производят молоко.
building — здание | Tall building ahead. | Высокое здание впереди.
ocean — океан | Ocean is deep. | Океан глубок.
class — класс | Math class starts. | Урок математики начинается.
note — примечание | Write a note. | Напиши заметку.
nothing — ничего | Nothing is here. | Здесь ничего нет.
rest — отдых | Take a rest. | Отдохни.
carefully — осторожно | Drive carefully. | Веди осторожно.
scientists — учёные | Scientists discover cures. | Учёные находят лекарства.
inside — внутри | Stay inside house. | Оставайся внутри дома.
wheels — колёса | Wheels spin fast. | Колёса быстро крутятся.
stay — оставаться | Stay home today. | Оставайся дома сегодня.
green — зелёный | Green light go. | Зелёный сигнал — идём.
known — известен | He is known. | Он известен.
island — остров | Visit the island. | Посети остров.
week — неделя | Next week busy. | Следующая неделя занята.
less — меньше | Spend less money. | Трать меньше денег.
machine — машина | Start the machine. | Запусти машину.
base — база | Return to base. | Вернись на базу.
ago — назад | Years ago happened. | Произошло много лет назад.
stood — стоял | She stood silent. | Она стояла молча.
plane — самолёт | Plane takes off. | Самолёт взлетает.
system — система | Update the system. | Обнови систему.
behind — позади | Stay behind me. | Оставайся позади меня.
ran — побежал | He ran home. | Он побежал домой.
round — круглый | Round table here. | Здесь круглый стол.
boat — лодка | Row the boat. | Греби лодку.
game — игра | Join the game. | Присоединяйся к игре.
force — сила | Use your force. | Используй свою силу.
brought — принёс | He brought food. | Он принёс еду.
understand — понимать | I understand you. | Я понимаю тебя.
warm — тёплый | Keep the soup warm. | Держи суп тёплым.
common — общий | We share common goals. | У нас общие цели.
bring — приносить | Bring the keys. | Принеси ключи.
explain — объяснять | Please explain again. | Пожалуйста, объясни ещё раз.
dry — сухой | Keep clothes dry. | Держи одежду сухой.
though — хотя | Though tired, he smiled. | Хотя устал, он улыбнулся.
language — язык | Language connects people. | Язык соединяет людей.
shape — форма | Cut a round shape. | Вырежи круглую форму.
deep — глубокий | The lake is deep. | Озеро глубокое.
thousands — тысячи | Thousands cheered loudly. | Тысячи громко приветствовали.
